chrono_id,movie,chapter,character,dialog
16,Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Good luck...Harry Potter.
22,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Yes, Aunt Petunia."
25,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Yes, Uncle Vernon."
72,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
86,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
95,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
97,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"You're a wizard, Harry."
101,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah."
105,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you."
107,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,A car crash? A car crash kill James and Lily Potter?
121,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Essential bit of equipment, Harry."
122,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
125,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Fast and misunderstood beasts, Harry. Fast and misunderstood."
126,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?"
129,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
134,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts."
139,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"See, Harry, you're famous!"
140,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
141,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry."
143,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"But, Hagrid, how am I to pay for all this? I haven't any money."
144,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
145,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"Uh, Hagrid, what exactly are these things?"
146,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal."
153,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"What's in there, Hagrid?"
154,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Can't tell you, Harry. It's Hogwarts business. Very secret."
156,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Best not mention this to anyone, Harry."
165,Harry Potter and the Philosopher's Stone,Ollivanders,Rubeus Hagrid,Harry! Harry! Happy birthday!
167,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"You all right, Harry? You seem very quiet."
168,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
169,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-..."
172,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Voldemort?
174,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. ‘Cept you."
175,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Me? Voldemort tried to kill...me?
