chrono_id;movie;chapter;character;dialog
1873;Harry Potter and the Prisoner of Azkaban;Under Covers Prologue;Harry Potter;Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!
1874;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Petunia Dursley;Harry! Harry! Harry, open the door! Marge! How lovely to see...
1875;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Harry Potter;Uncle Vernon, I need you to sign this form.
1876;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Vernon Dursley;What is it?
1877;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Harry Potter;Nothing. School stuff.
1878;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Vernon Dursley;Later perhaps, if you behave.
1879;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Harry Potter;I will if she does.
1880;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Marge Dursley;Oh, you're still here, are you?
1881;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Harry Potter;Yes.
1882;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Marge Dursley;Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!
1883;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Vernon Dursley;Take Marge's suitcase upstairs!
1884;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Harry Potter;Okay.
1885;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Marge Dursley;Finish that off for Mommy. Good boy, Rippy-pooh.
1886;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Vernon Dursley;Can I tempt you, Marge?
1887;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Marge Dursley;Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?
1888;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Vernon Dursley;St. Brutus'. It's a fine institution for hopeless cases.
1889;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Marge Dursley;Do they use a cane at St. Brutus', boy?
1890;Harry Potter and the Prisoner of Azkaban;Aunt Marge's Big Mistake;Harry Potter;Oh, yeah. Yeah. I've been beaten loads of times.
