moviechrono_id;"movie,""chapter"",""character"",""dialog""";;;
1;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""Oh, it's you.""";;;
2;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Gang thug"",""What should we do with him, Big D?""";;;
3;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Big D? Cool name, but to me, you'll always be Ikkle Duddicums.""";;;
4;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""Shut up!""";;;
5;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""Ooo, tough guy. Not so tough in your bed, are you?""";;;
6;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""What?""";;;
7;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Arabella Figg"",""You boys go home now, or I'll be calling your parents!""";;;
8;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""I heard you talking in your sleep, last night. Crying. """"No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!""""""";;;
9;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Shut up, Dudley. I'm warning you...""";;;
10;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""Why should I?""";;;
11;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Because if you don't I'll turn you into the idiot pig you are!""";;;
12;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Not so brave now, are you Duddykins? Now tell your little friends to go away.""";;;
13;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""G-go home!""";;;
14;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Gang thug"",""What?""";;;
15;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""Get out of here!""";;;
16;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Don't you ever speak about that again. You understand?""";;;
17;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""Don't point that thing at me!""";;;
18;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""I said, DO YOU UNDERSTAND? !""";;;
19;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Dudley Dursley"",""What's happening?""";;;
20;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Quiet!""";;;
21;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Dudley! Run!""";;;
22;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Come on! They break into a run. A dementor drifts into the alleyway in front of them. Skidding to a stop, Harry turns around, to find the other dementor cutting off the way back.""";;;
23;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Dudley, no!""";;;
24;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Lumos!""";;;
25;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""""""Expecto Patronum!'""";;;
26;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Voldemort"",""Bow to death, Harry...""";;;
27;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Lily potter"",""Haaaaaaaarry!...""";;;
28;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""""""Expecto Patronum! '""";;;
29;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""What the heii are those?""";;;
30;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Dementors.""";;;
31;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Petunia Dursley"",""What happened, Duddikins?""";;;
32;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""What the hell is a dementoid?""";;;
33;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Petunia Dursley"",""They didn't--?""";;;
34;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""No.""";;;
35;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""I want some answers!""";;;
36;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""We were attacked.""";;;
37;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""By those...things?""";;;
38;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""They're evil. If they get the chance, they'll suck your soul out through your mouth.""";;;
39;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""How do you know that?""";;;
40;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""Fought 'em off, eh, Dud? Gave 'em the ol' one-two?""";;;
41;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""You can't give a Dementor the 'ol one-two.'""";;;
42;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Vernon Dursley"",""Why is he all right then?""";;;
43;"Harry Potter and the Order of the Phoenix,""Dudley Demented"",""Harry Potter"",""Because I used magic to save his""";;;
44;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""Lumos!""";;;
45;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Vernon Dursley"",""Who are all you lot?""";;;
46;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Quiet, Dursley.""";;;
47;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""Harry, douse the light. We're exposed here.""";;;
48;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""What are you doing here?""";;;
49;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""We're your advanced guard, Harry. Dumbledore just sent us as soon as he heard about the attack. We're taking you to safety. We're just waiting for the all clear.""";;;
50;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""How'd he know? It just happened!""";;;
51;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""You didn't think Dumbledore'd let you wander around on your own, did you?""";;;
52;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""Harry, I don't believe you've met Nymphadora Tonks.""";;;
53;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""Tonks, would you go get Harry's broom from the house?""";;;
54;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""What's been going on? What's Lord Vol-""";;;
55;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""We're not talking about it here, it's too risky.""";;;
56;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Blast it.""";;;
57;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Nymphadora Tonks"",""Mad-eye, dear, you do realize that's disgusting?""";;;
58;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""I want 365 degree visibility on the return trip.""";;;
59;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""How are we getting there?""";;;
60;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""Brooms.""";;;
61;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Kingsley Shacklebolt"",""There's the first signal.""";;;
62;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Right, let's go.""";;;
63;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""On your broom, Harry.""";;;
64;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Form up! Form up around Harry. Make it snappy! The advanced guard surrounds Harry.""";;;
