chrono_id;movie;chapter;character;dialog
4651;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;Narcissa!
4652;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;Cissy! You mustn't do this.  He can't be trusted.
4653;Harry Potter and the Half-Blood Prince;Snape's Visitors;Narcissa Malfoy;The Dark Lord trusts him.
4654;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;The Dark Lord is mistaken.
4655;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;Or so I believe.
4656;Harry Potter and the Half-Blood Prince;Snape's Visitors;Narcissa Malfoy;Well, who can one trust these days?
4657;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;He lives in this Muggle dunghill?
4658;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;Run along, Wormtail.
4659;Harry Potter and the Half-Blood Prince;Snape's Visitors;Narcissa Malfoy;I've nowhere else to turn, Severus.
4660;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;You must be joking.
4661;Harry Potter and the Half-Blood Prince;Snape's Visitors;Narcissa Malfoy;I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --
4662;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;If the Dark Lord has forbidden it, you ought not to speak.
4663;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa.
4664;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;You? The Dark Lord told you?
4665;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;Your sister doubts me, Narcissa. Understandable.
4666;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.
4667;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;Dumbledore is a great wizard. Only a fool would question it.
4668;Harry Potter and the Half-Blood Prince;Snape's Visitors;Narcissa Malfoy;I... I don't doubt you, Severus.
4669;Harry Potter and the Half-Blood Prince;Snape's Visitors;Bellatrix Lestrange;You should feel honored, Cissy. As should Draco --
4670;Harry Potter and the Half-Blood Prince;Snape's Visitors;Narcissa Malfoy;He's just a boy!
4671;Harry Potter and the Half-Blood Prince;Snape's Visitors;Severus Snape;I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.
