chrono_id;movie;chapter;character;dialog
6733;Harry Potter and the Deathly Hallows Part 2;Shell Cottage;Luna Lovegood;It's beautiful here.
6734;Harry Potter and the Deathly Hallows Part 2;Shell Cottage;Bill Weasley;It was our Aunt's. We used to come here as kids. The Order uses it now as a safe house -- what's left of us, at least.
6735;Harry Potter and the Deathly Hallows Part 2;Shell Cottage;Luna Lovegood;Muggles think these keep evil away. But they're wrong...
6736;Harry Potter and the Deathly Hallows Part 2;Shell Cottage;Harry Potter;I need to talk to the goblin.
6737;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;How are you?
6738;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;Alive.
6739;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;You probably don't remember --
6740;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;Yes.
6741;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;And brought me here.
6742;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;You are a very unusual wizard.
6743;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;Why did you leave Gringotts?
6744;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;Soon the Death Eaters will control it. That was unacceptable to me.
6745;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Ron Weasley;Then you're on our side.
6746;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;This is a wizard's war. I take no side.
6747;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;It is impossible.
6748;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;Alone, yes. With you, no.
6749;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;How did you come by this sword?
6750;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?
6751;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;It's complicated.
6752;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;The sword presented itself to us in a moment of need. We didn't steal it.
6753;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;There is a sword in Madam Lestrange's vault identical to this one, but it is a fake. It was placed there this past summer.
6754;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;And she never suspected?
6755;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor.
6756;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Ron Weasley;Who put it there? The fake.
6757;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts.
6758;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Harry Potter;And in Madam Lestrange's vault as well?
6759;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;Perhaps.
6760;Harry Potter and the Deathly Hallows Part 2;Griphook's Price;Griphook;I have no interest in gold.
