moviechrono_id;"movie,""chapter"",""character"",""dialog"""
1;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Rufus Scrimgeour"",""These are dark times, there is no denying.  Our world has perhaps faced no greater threat than it does today.  But I say this to our citizenry:  we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong..."""
2;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Mrs. Granger"",""Hermione.  Your tea is ready, dear."""
3;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Hermione Granger"",""Coming, Mum."""
4;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Mrs. Granger"",""Don't you look lovely.  All packed?"""
5;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Mr. Granger"",""Are you sure these biscuits are sugar-free?"""
6;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Mrs. Granger"",""Quite sure, dear.  See the big bold letters that say 'Sugar Free'?  Dead giveaway."""
7;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Mr. Granger"",""Mm.  Yes. Hello, kitten.  Don't you look lovely."""
8;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Mrs. Granger"",""Darling, don't be suspicious the biscuits taste so good, be grateful the company's so clever..."""
9;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Hermione Granger"",""Obliviate."""
10;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Hermione Granger"",""Goodbye."""
11;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Ron Weasley"",""What are those?"""
12;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Arthur Weasley"",""Close the door."""
13;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Arthur Weasley"",""These are for the Order.  So many are on the run now, it helps them to stay connected with the rest of us.  Know they're not alone..."""
14;"Harry Potter and the Deathly Hallows Part 1,""Dark Times"",""Ron Weasley"",""C'mon.  Mum's got dinner ready."""
15;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Severus.  I was beginning to worry you'd lost your way.  Come.  I've saved you a seat."""
16;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""You know our hosts, of course, Severus.  Narcissa in particular has been most hospitable.  Lucius, on the other hand, is, I fear, burdened by my presence.  Are you, Lucius?"""
17;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Lucius Malfoy"",""My lord?"""
18;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Are you burdened?"""
19;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Narcissa Malfoy"",""My lord is always welcome here."""
20;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""You bring news I trust, Severus?"""
21;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Severus Snape"",""It will happen Saturday next.  At nightfall."""
22;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""And this information comes --"""
23;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Severus Snape"",""-- from the source we discussed."""
24;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Corban Yaxley"",""I have heard differently, my lord. Dawlish, the Auror, let slip that the Potter boy will not be moved until the thirtieth of this month, the night before he turns seventeen."""
25;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Severus Snape"",""This is a false trail.  The Auror Office no longer plays any part in the protection of Harry Potter. Those closest to him believe we have infiltrated the Ministry."""
26;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Death Eater"",""Well, they've got that right, then, 'aven't they?"""
27;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Pius, what say you?"""
28;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Pius Thicknesse"",""One hears many things, my lord. Whether the truth is among them is not clear."""
29;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Spoken like a true politician. You will, I think, prove most useful, Pius.  Where will he be taken?  The boy?"""
30;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Severus Snape"",""To a safehouse.  Likely the home of someone in the Order.  I'm told it has been given every manner of protection possible. Once there, it will be impractical to attack him.  We may have compromised the Ministry, but there are those who remain loyal to him.  As long as the Ministry stands, his allies within will have the means at their disposal to insure his safety."""
31;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Bellatrix Lestrange"",""My lord, if I might, I'd like to volunteer myself for this task. I'd like to kill the boy."""
32;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Wormtail!  Have I not spoken to you about keeping our guest quiet?"""
33;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Peter Pettigrew"",""Yes, m-my lord.  Right away, my lord."""
34;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""As inspiring as I find your bloodlust, Bellatrix, I must be the one to kill Harry Potter.  But I face an unfortunate complication.  It has recently come to my attention that my wand and Potter's share the same core. They are, in some ways, twins.  We can wound but not fatally harm one another.  Which means, if I am to kill him... I will have to do it with another's wand."""
35;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Come now.  Surely one of you would like the honor?  What about... you, Lucius?"""
36;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""I require your wand."""
37;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Do I detect elm?"""
38;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Lucius Malfoy"",""Yes, my lord."""
39;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""And the core?"""
40;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Lucius Malfoy"",""Dragon -- dragon heartstring."""
41;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""My wand?  You can't possibly think I would give you my wand."""
42;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Lucius Malfoy"",""No, my lord."""
43;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""For those of you who do not know, we are joined tonight by Miss Charity Burbage who until recently taught at Hogwarts School of Witchcraft and Wizardry.  Her specialty was Muggle studies. It is Miss Burbage's belief that Muggles are not so different from us."""
44;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""She would, given her way, have us mate with them.  To her, the mixture of magical and Muggle blood is not an abomination but something to be encouraged.  I, of course, take a contrary view.  But we're all civilized here.  All adults.  We can agree to disagree."""
45;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Charity Burbage"",""Severus, please.  We're friends..."""
46;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Avada Kedavra!"""
47;"Harry Potter and the Deathly Hallows Part 1,""Dark Lord Ascending"",""Voldemort"",""Nagini... Dinner."""
48;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Vernon Dursley"",""Come now, Dudley.  Hurry up!"""
49;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Time for the teary farewell."""
50;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Petunia Dursley"",""I've lived in this house twenty years.  And now -- in a single night -- I'm expected to leave."""
51;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""They'll torture you.  Even Dudley. If they think you know where I'm going, they'll stop at noth--"""
52;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Petunia Dursley"",""You think I don't know that?  You think I don't know what they're capable of?"""
53;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Petunia Dursley"",""You didn't just lose a mother that night in Godric's Hollow, you know.  I lost a sister."""
54;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Do you have any?  Magic?"""
55;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Petunia Dursley"",""What a cruel thing to ask."""
56;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Vernon Dursley"",""Well, this is goodbye then, boy."""
57;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Dudley Dursley"",""I don't understand.  Isn't he coming with us?"""
58;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Vernon Dursley"",""Who?"""
59;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Dudley Dursley"",""Harry."""
60;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Vernon Dursley"",""Absolutely not."""
61;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Dudley Dursley"",""Why?"""
62;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Vernon Dursley"",""Well, because -- he doesn't want to, do you, boy?"""
63;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Absolutely not.  Besides, I'm just a waste of space.  Isn't that right, Vernon?"""
64;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Vernon Dursley"",""Come on, Dudley, we're off."""
65;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Dudley Dursley"",""I don't think you're a waste of space."""
66;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Well... thanks."""
67;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""See you, Big D."""
68;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Good riddance."""
69;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Rubeus Hagrid"",""All righ', 'arry?  Yeh look fit."""
70;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Yeah, he's ruddy gorgeous.  What say we get undercover before someone murders him."""
71;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""I thought you were looking after the Prime Minister, Kingsley."""
72;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Kingsley Shacklebolt"",""You're more important."""
73;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Bill Weasley"",""Hello, Harry.  Bill Weasley."""
74;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fred Weasley"",""Wasn't always this handsome."""
75;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""George Weasley"",""Dead ugly."""
76;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Bill Weasley"",""True enough.  Owe it all to a werewolf by name of Greyback. Hope to repay the favor one day."""
77;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fleur Delacour"",""You are still beautiful to me, William."""
78;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Remus Lupin"",""Just remember, Fleur, once you're married:  Bill takes his steaks on the raw side now."""
79;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Nymphadora Tonks"",""My husband, the joker.  By the way, wait until you hear the news! Remus and I are --"""
80;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""All right, all right!  You'll all have time for a cozy catch-up later!  We've got to get the hell out of here and soon!"""
81;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Potter, you're underage, which means you've still got the Trace on you."""
82;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""The Trace?"""
83;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""You sneeze and the Ministry will know who wipes your nose.  Point is, we have to use those means of transport the Trace can't detect: brooms, thestrals and the like. We'll go in pairs.  That way if anyone's out there waiting for us -- and I reckon there will be -- they won't know which Harry Potter is the real one."""
84;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""The real one...?"""
85;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""I believe you're familiar with this particular brew."""
86;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""No!  Absolutely not!"""
87;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Hermione Granger"",""I told you he'd take it well."""
88;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""If you think I'm going to let people risk their lives for me --"""
89;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Ron Weasley"",""Never done that before, have we?"""
90;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""This is different.  Taking that. Becoming me -- no."""
91;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fred Weasley"",""Well, none of us really fancy it, mate."""
92;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""George Weasley"",""Yeah, imagine if something went wrong and we were stuck as scrawny, specky gits forever."""
93;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Everyone here's of age, Potter, and they've all agreed to take the risk."""
94;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Mundungus Fletcher"",""Technically, I've been coerced. Mundungus Fletcher, Mr. Potter. I've always been a huge admirer."""
95;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Nip it, Mundungus!  All right, Granger, as discussed."""
96;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Blimey, Hermione!"""
97;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Straight in here, if you please."""
98;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""For those of you who haven't taken Polyjuice Potion before, fair warning.  It tastes like goblin piss."""
99;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fred Weasley"",""Have a lot of experience with that, do you, Mad-Eye?"""
100;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fred Weasley"",""Just trying to defuse the tension."""
101;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fred Weasley"",""Wow -- we're identical!"""
102;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""George Weasley"",""Wow -- we're identical!"""
103;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Not yet you aren't."""
104;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""George Weasley"",""Don't have something a bit more sporty, do you?"""
105;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fred Weasley"",""Yes, don't fancy this color at all."""
106;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Fancy this:  You're not you, so shut it and strip. You'll need to change too, Potter."""
107;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Fleur Delacour"",""Bill, look away -- I'm 'ideous."""
108;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Ron Weasley"",""I knew Ginny was lying about that tattoo."""
109;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Hermione Granger"",""Harry, your eyesight really is awful."""
110;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Blimey.  I almost forgot."""
111;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Right then.  We'll be pairing off. Each Potter will have a protector. As for you, Harry..."""
112;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Yes?"""
113;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""The real Harry!  Where the devil are you, anyway?"""
114;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Harry Potter"",""Here."""
115;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""You'll ride with Hagrid."""
116;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Rubeus Hagrid"",""Brought yeh here sixteen years ago when you were barely bigger than a Bowtruckle. Seems only righ' I should be the one ter take yeh away."""
117;"Harry Potter and the Deathly Hallows Part 1,""The Seven Potters"",""Alastor Moody"",""Yeah, it's all very touching. Let's go."""
118;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Alastor Moody"",""Good luck, everyone.  On the count of three.  One... two --"""
119;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Harry Potter"",""Hagrid!  We've got to help the others!"""
120;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Rubeus Hagrid"",""Can't do it, 'arry.  My job's ter get you where we're goin' safe 'n sound -- Mad-Eye's orders!"""
121;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Harry Potter"",""What was that?"""
122;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Rubeus Hagrid"",""Dragon fire!"""
123;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Death Eater"",""That's him!  The real one!"""
124;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Rubeus Hagrid"",""Hol' tight, 'arry!  We've got ter get yeh out of here!"""
125;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Harry Potter"",""Hagrid... HAGRID...!"""
126;"Harry Potter and the Deathly Hallows Part 1,""Aerial Ambush"",""Voldemort"",""Avada..."""
127;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Molly Weasley"",""Harry!  Hagrid!  What happened?! Have you seen the others?"""
128;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""Is no one back yet?"""
129;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""They were on us from the star', Molly -- the Death Eaters.  And You-Know-Who as well."""
130;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Molly Weasley"",""Well, thank goodness you two are all right."""
131;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""Haven't go' any brandy, have yeh, Molly?  Fer medicinal purposes?"""
132;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ginny Weasley"",""Ron and Tonks should've already been back.  Dad and Fred as well."""
133;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ginny Weasley"",""Oh my God!  George!"""
134;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""The house!  Quickly!"""
135;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Molly Weasley"",""My boy!  My darling boy!  What've they done to you?!"""
136;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Ginny Weasley"",""Remus!  What're you doing!"""
137;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""What creature sat in the corner the first time that Harry Potter visited my office at Hogwarts!"""
138;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""Are you mad...?"""
139;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""What Creature!"""
140;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""A grindylow!"""
141;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""We've been betrayed.  Voldemort knew you were being moved tonight. I had to make sure you weren't an imposter."""
142;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Harry Potter"",""Who did this to him?"""
143;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""Snape. He'll be fine, Molly.  But that's Dark Magic.  The damage is done."""
144;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Rubeus Hagrid"",""Someone else is back."""
145;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Kingsley Shacklebolt"",""The last words Albus Dumbledore spoke to the pair of us?"""
146;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Remus Lupin"",""'Harry is the best hope we have. Trust him.'"""
147;"Harry Potter and the Deathly Hallows Part 1,""Fallen Warrior"",""Kingsley Shacklebolt"",""What gave you away?"""
