moviechrono_id;"movie,""chapter"",""character"",""dialog""";
1;"Harry Potter and the Deathly Hallows Part 2,""Shell Cottage"",""Luna Lovegood"",""It's beautiful here.""";
2;"Harry Potter and the Deathly Hallows Part 2,""Shell Cottage"",""Bill Weasley"",""It was our Aunt's. We used to come here as kids. The Order uses it now as a safe house -- what's left of us, at least.""";
3;"Harry Potter and the Deathly Hallows Part 2,""Shell Cottage"",""Luna Lovegood"",""Muggles think these keep evil away. But they're wrong...""";
4;"Harry Potter and the Deathly Hallows Part 2,""Shell Cottage"",""Harry Potter"",""I need to talk to the goblin.""";
5;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""How are you?""";
6;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""Alive.""";
7;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""You probably don't remember --""";
8;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""Yes.""";
9;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""And brought me here.""";
10;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""You are a very unusual wizard.""";
11;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""Why did you leave Gringotts?""";
12;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""Soon the Death Eaters will control it. That was unacceptable to me.""";
13;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Ron Weasley"",""Then you're on our side.""";
14;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""This is a wizard's war. I take no side.""";
15;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""It is impossible.""";
16;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""Alone, yes. With you, no.""";
17;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""How did you come by this sword?""";
18;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?""";
19;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""It's complicated.""";
20;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""The sword presented itself to us in a moment of need. We didn't steal it.""";
21;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""There is a sword in Madam Lestrange's vault identical to this one, but it is a fake. It was placed there this past summer.""";
22;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""And she never suspected?""";
23;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor.""";
24;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Ron Weasley"",""Who put it there? The fake.""";
25;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts.""";
26;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""And in Madam Lestrange's vault as well?""";
27;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""Perhaps.""";
28;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""I have no interest in gold.""";
29;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""Then what? The goblin twists the curl at his chin... then his eyes""";
30;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""That is my price.""";
31;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Griphook"",""I have your word, Harry Potter, that you will give me the Sword of Gryffindor if I help you?""";
32;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Hermione Granger"",""Harry, are you thinking there's a Horcrux in Bellatrix's vault?""";
33;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""She was terrified when she thought we'd been in there. She kept asking you what else we'd taken. I'd bet anything there's a Horcrux there. If we find it, we can kill it. And if we kill it, we're one step closer to killing him.""";
34;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Ron Weasley"",""And if we find one? How're we supposed to destroy it if we've given Griphook the sword?""";
35;"Harry Potter and the Deathly Hallows Part 2,""Griphook's Price"",""Harry Potter"",""I'm still working on that part.""";
36;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Fleur Delacour"",""He's too weak.""";
37;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Garrick Ollivander"",""Forgive me if I don't get up.""";
38;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Mr. Ollivander, I need to ask you a few questions.""";
39;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Garrick Ollivander"",""Anything, m'boy, anything.""";
40;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Can you identify these, sir?""";
41;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Garrick Ollivander"",""Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to Bellatrix Lestrange.""";
