chrono_id;movie;chapter;character;dialog
3495;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;Oh, it's you.
3496;Harry Potter and the Order of the Phoenix;Dudley Demented;Gang thug;What should we do with him, Big D?
3497;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Big D? Cool name, but to me, you'll always be Ikkle Duddicums.
3498;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;Shut up!
3499;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;Ooo, tough guy. Not so tough in your bed, are you?
3500;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;What?
3501;Harry Potter and the Order of the Phoenix;Dudley Demented;Arabella Figg;You boys go home now, or I'll be calling your parents!
3502;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;"I heard you talking in your sleep, last night. Crying. ""No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!"""
3503;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Shut up, Dudley. I'm warning you...
3504;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;Why should I?
3505;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Because if you don't I'll turn you into the idiot pig you are!
3506;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Not so brave now, are you Duddykins? Now tell your little friends to go away.
3507;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;G-go home!
3508;Harry Potter and the Order of the Phoenix;Dudley Demented;Gang thug;What?
3509;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;Get out of here!
3510;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Don't you ever speak about that again. You understand?
3511;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;Don't point that thing at me!
3512;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;I said, DO YOU UNDERSTAND? !
3513;Harry Potter and the Order of the Phoenix;Dudley Demented;Dudley Dursley;What's happening?
3514;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Quiet!
3515;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Dudley! Run!
3516;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Come on! They break into a run. A dementor drifts into the alleyway in front of them. Skidding to a stop, Harry turns around, to find the other dementor cutting off the way back.
3517;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Dudley, no!
3518;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Lumos!
3519;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;"""Expecto Patronum!'"
3520;Harry Potter and the Order of the Phoenix;Dudley Demented;Voldemort;Bow to death, Harry...
3521;Harry Potter and the Order of the Phoenix;Dudley Demented;Lily potter;Haaaaaaaarry!...
3522;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;"""Expecto Patronum! '"
3523;Harry Potter and the Order of the Phoenix;Dudley Demented;Vernon Dursley;What the heii are those?
3524;Harry Potter and the Order of the Phoenix;Dudley Demented;Harry Potter;Dementors.
3525;Harry Potter and the Order of the Phoenix;Dudley Demented;Petunia Dursley;What happened, Duddikins?
3526;Harry Potter and the Order of the Phoenix;Dudley Demented;Vernon Dursley;What the hell is a dementoid?
