moviechrono_id;"movie,""chapter"",""character"",""dialog"""
1;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""Narcissa!"""
2;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""Cissy! You mustn't do this.  He can't be trusted."""
3;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""The Dark Lord trusts him."""
4;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""The Dark Lord is mistaken."""
5;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""Or so I believe."""
6;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""Well, who can one trust these days?"""
7;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""He lives in this Muggle dunghill?"""
8;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""Run along, Wormtail."""
9;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""I've nowhere else to turn, Severus."""
10;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""You must be joking."""
11;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --"""
12;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""If the Dark Lord has forbidden it, you ought not to speak."""
13;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa."""
14;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""You? The Dark Lord told you?"""
15;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""Your sister doubts me, Narcissa. Understandable."""
16;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time."""
17;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""Dumbledore is a great wizard. Only a fool would question it."""
18;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""I... I don't doubt you, Severus."""
19;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""You should feel honored, Cissy. As should Draco --"""
20;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""He's just a boy!"""
21;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection."""
22;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""Do you mean it, Severus?"""
23;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""I can try."""
24;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Narcissa Malfoy"",""Oh, Severus, please, if you would... I would be forever in your debt."""
25;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""Swear to it."""
26;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""Make the Unbreakable Vow. You see.  It's just empty words. Oh he'll try.  He'll give it his best effort.  But when it matters most he'll slither back into his hole.  Bloody coward..."""
27;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""Take out your wand."""
28;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""Will you, Severus Snape, watch over Draco Malfoy as he attempts to fulfill the Dark Lord's wishes."""
29;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""I will."""
30;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""And will you, to the best of your ability, protect him from harm?"""
31;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""I will."""
32;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Bellatrix Lestrange"",""And should it prove necessary, if it seems Draco will fail... will you yourself carry out the deed that the Dark Lord has ordered Draco to perform?"""
33;"Harry Potter and the Half-Blood Prince,""Snape's Visitors"",""Severus Snape"",""I will."""
34;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Waitress"",""Harry Potter.  Who's Harry Potter?"""
35;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Harry Potter"",""Oh.  Um.  No one.  Bit of a tosser."""
36;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Waitress"",""Funny that paper of yours.  Couple nights ago, I could swear I saw one of the pictures move."""
37;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Harry Potter"",""Really."""
38;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Waitress"",""Thought I'd gone round the twist."""
39;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Harry Potter"",""Hey.  I was wondering..."""
40;"Harry Potter and the Half-Blood Prince,""Who's Harry Potter?"",""Waitress"",""Eleven.  That's when I get off."""
41;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it..."""
42;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""I like riding round on the trains. It takes my mind off... things."""
43;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Rather unpleasant to behold, isn't it?  The tale is thrilling if I do say so myself, but I'm afraid now is not the time to tell it.  Take my arm."""
44;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""I just Apparated, didn't I?"""
45;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Indeed.  And quite successfully I might add.  Most people vomit their first time."""
46;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""Can't imagine why..."""
47;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Welcome to the charming village of Budleigh Babberton, Harry.  I assume right about now you're wondering why I've brought you here, am I right?"""
48;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""After all these years, I just sort of roll with it, sir."""
49;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Wand out, Harry."""
50;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Lumos..."""
51;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Horace!"""
52;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Horace Slughorn"",""Merlin's Beard!"""
53;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""There's no need to disfigure me, Albus!"""
54;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""I must say, you make a very convincing armchair, Horace."""
55;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""It's all in the upholstery. I come by the stuffing naturally. What gave me away?"""
56;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Dragon's blood."""
57;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Yes, well, I couldn't very well use wizard's blood, could I?  Oho!"""
58;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Ah yes.  Introductions.  Harry, this is an old friend and colleague of mine, Horace Slughorn.  Horace, this is, well, you know who this is. Apparently there's some thought he may be the Chosen One."""
59;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""So why all the theatrics, Horace? You weren't perhaps expecting someone else, were you?"""
60;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""S-someone else?  I'm sure I don't know what you mean."""
61;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Oh all right!  The Death Eaters have been trying to recruit me for over a year.  Do you know what that's like?  One can only say no to these people so many times before they..."""
62;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Take matters into their own hands?"""
63;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""I never stay anywhere more than a week.  The Muggles who own this place are in the Canary Islands."""
64;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Well, I think it should be put back in order for them, don't you? Mind?"""
65;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""That was fun.  May I use the loo?"""
66;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Don't think I don't know why you're here, Albus!  The answer is still no!  Absolutely, unequivocally no!"""
67;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""You look very like your father. Except for your eyes.  You've got --"""
68;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""My mother's eyes, yeah."""
69;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born."""
70;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""One of my best friends is Muggle- born.  She's the best in our year."""
71;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Oh, but you mustn't think I'm prejudiced!  No, no, no! Your mother was one of my absolute favorites!  Look, there she is. Right up front."""
72;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""All mine, each and every one.  Ex- students, I mean.  You recognize Barnubas Cuffe, of course, editor of the Daily Prophet."""
73;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Always takes my owl should I want to register my opinion on the news of the day.  And there's Ambrosius Flume of Honeydukes.  Sends a hamper of chocolate to the house each birthday.  That is, when I had a house.  And Gwenog Jones, captain of the Holyhead Harpies -- free tickets whenever I want them. Of course, I haven't been to a match in some time..."""
74;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Ah yes.  Regulus Black.  You no doubt know of his older brother Sirius.  Died a few weeks ago.  I taught the whole Black family except Sirius.  Shame.  Talented boy.  I got Regulus when he came along, of course, but I'd have liked the set."""
75;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Mind if I take this?  I do love knitting patterns."""
76;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Of course.  But you're not leaving?"""
